id,combo,source NP,premise,hypothesis,label
987,pri-sub,a onetime domestic policy adviser,This is a onetime domestic policy adviser.,This is a policy adviser.,non-entailment
988,pri-sub,a prior national interest,This is a prior national interest.,This is a national interest.,non-entailment
989,pri-sub,a fictitious high school,This is a fictitious high school.,This is a high school.,non-entailment
990,pri-sub,a fictitious high school,This is a fictitious high school.,This is a school.,non-entailment
991,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a federal lawyer.,non-entailment
992,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a lawyer.,non-entailment
993,pri-sub,a counterfeit modern bill,This is a counterfeit modern bill.,This is a modern bill.,non-entailment
994,pri-sub,Al-Qaeda's presumed top financier,He is Al-Qaeda's presumed top financier.,He is Al-Qaeda's top financier.,non-entailment
995,pri-sub,a would-be lead blocker,This is a would-be lead blocker.,This is a lead blocker.,non-entailment
996,pri-sub,some presumed serious mental health problem,He has some presumed serious mental health problems.,He has some serious mental health problems.,non-entailment
997,pri-sub,a next top star,She is the next top star.,She is a top star.,non-entailment
998,pri-sub,a next top star,She is the next top star.,She is a star.,non-entailment
999,pri-sub,A would-be classic baseball game,This is A would-be classic baseball game.,This is a classic baseball game.,non-entailment
1000,pri-sub,a presumed strong competitor,He is a presumed strong competitor.,He is a strong competitor.,non-entailment
1001,pri-sub,a presumed short circuit,This is a presumed short circuit.,This is a short circuit.,non-entailment
1002,pri-sub,a retired short seller,He is a retired short seller.,He is a short seller.,non-entailment
1003,pri-sub,a retired short seller,He is a retired short seller.,He is a seller.,non-entailment
1004,pri-sub,a presumed common origin,This is a presumed common origin.,This is a common origin.,non-entailment
1005,pri-sub,every previous significant work,This is every previous significant work.,This is every significant work.,non-entailment
1006,pri-sub,every previous significant work,This is every previous significant work.,This is every work.,non-entailment
1007,pri-sub,a phony moral authority,He is a phony moral authority.,He is a moral authority.,non-entailment
1008,pri-sub,a probable high position,This is a probable high position.,This is a high position.,non-entailment
1009,pri-sub,a fictitious professional golfer,He is a fictitious professional golfer.,He is a professional golfer.,non-entailment
1010,pri-sub,a mock serious tone,This is a mock serious tone.,This is a serious tone.,non-entailment
1011,pri-sub,dubious strategic value,It has dubious strategic value.,It has strategic value.,non-entailment
1012,pri-sub,dubious strategic value,It has dubious strategic value.,It has value.,non-entailment
1013,pri-sub,a probable third round meeting,This is a probable third-round meeting.,This is a third-round meeting.,non-entailment
1014,pri-sub,a probable third round meeting,This is a probable third-round meeting.,This is a meeting.,non-entailment
1015,pri-sub,the mock common admission test,This is the mock common admission test.,This is the common admission test.,non-entailment
1016,pri-sub,the mock common admission test,This is the mock common admission test.,This is the admission test.,non-entailment
1017,pri-sub,a seeming similar experience,This is a seeming similar experience.,This is a similar experience.,non-entailment
1018,pri-sub,a retired independent contractor,He is a retired independent contractor.,He is an independent contractor.,non-entailment
1019,pri-sub,a retired independent contractor,He is a retired independent contractor.,He is a contractor.,non-entailment
1020,pri-sub,its presumed specific principles,These are its presumed specific principles.,These are its specific principles.,non-entailment
1021,pri-sub,counterfeit new U.S. dollars,Those are counterfeit new U.S. dollars.,Those are new U.S. dollars.,non-entailment
1022,pri-sub,counterfeit new U.S. dollars,Those are counterfeit new U.S. dollars.,Those are U.S. dollars.,non-entailment
1023,pri-sub,Al-Qaeda's presumed top financier,He is Al-Qaeda's presumed top financier.,He is Al-Qaeda's top financier.,non-entailment
1024,pri-sub,a would-be lead blocker,This is a would-be lead blocker.,This is a lead blocker.,non-entailment
1025,pri-sub,a presumed serious mental health problem,This is a presumed serious mental health problem.,This is a serious mental health problem.,non-entailment
1026,pri-sub,a presumed serious mental health problem,This is a presumed serious mental health problem.,This is a mental health problem.,non-entailment
1027,pri-sub,a mock official inquiry,This is a mock official inquiry.,This is an official inquiry.,non-entailment
1028,pri-sub,an imminent positive result,This is an imminent positive result.,This is a positive result.,non-entailment
1029,pri-sub,a theoretical average salary,This is a theoretical average salary.,This is an average salary.,non-entailment
1030,pri-sub,a supposed corrupt federal official,He is a supposed corrupt federal official.,He is a corrupt federal official.,non-entailment
1031,pri-sub,a supposed corrupt federal official,He is a supposed corrupt federal official.,He is a corrupt official.,non-entailment
1032,pri-sub,a fictional common ancestor,This is a fictional common ancestor.,This is a common ancestor.,non-entailment
1033,pri-sub,a fictional common ancestor,This is a fictional common ancestor.,This is an ancestor.,non-entailment
1034,pri-sub,a mock early surrender,This is a mock early surrender.,This is a surrender.,non-entailment
1035,pri-sub,a past southern area,This is a past southern area.,This is a southern area.,non-entailment
1036,pri-sub,a mock parliamentary debate,This is a mock parliamentary debate.,This is a parliamentary debate.,non-entailment
1037,pri-sub,a prior federal judge,She is a prior federal judge.,She is a judge.,non-entailment
1038,pri-sub,some improbable common ground,This is some improbable common ground.,This is some ground.,non-entailment
1039,pri-sub,his somewhat disputed eighth championship,This is his somewhat disputed eighth championship.,This is his somewhat championship.,non-entailment
1040,pri-sub,an allegedly fraudulent national election,This is an allegedly fraudulent national election.,This is an allegedly national election.,non-entailment
1041,pri-sub,Germany's next top star,She is Germany's next top star.,She is Germany's top star.,non-entailment
1042,pri-sub,Germany's next top star,She is Germany's next top star.,She is Germany's star.,non-entailment
1043,pri-sub,An unlikely top seller,This is An unlikely top seller.,This is An unlikely seller.,non-entailment
1044,pri-sub,An unlikely top seller,This is An unlikely top seller.,This is a top seller.,non-entailment
1045,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a federal lawyer.,non-entailment
1046,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a lawyer.,non-entailment
1047,pri-sub,counterfeit modern bills,Those are counterfeit modern bills.,Those are modern bills.,non-entailment
1048,pri-sub,counterfeit modern bills,Those are counterfeit modern bills.,Those are bills.,non-entailment
1049,pri-sub,an improbable presidential candidacy,This is an improbable presidential candidacy.,This is a presidential candidacy.,non-entailment
1050,pri-sub,a counterfeit federal certificate,This is a counterfeit federal certificate.,This is a federal certificate.,non-entailment
1051,pri-sub,a counterfeit federal certificate,This is a counterfeit federal certificate.,This is a certificate.,non-entailment
1052,pri-sub,a hypothetical average consumption,This is a hypothetical average consumption.,This is an average consumption.,non-entailment
1053,pri-sub,a fictional small island,This is a fictional small island.,This is an island.,non-entailment
1054,pri-sub,a forged Arab diplomatic passport,This is a forged Arab diplomatic passport.,This is an Arab diplomatic passport.,non-entailment
1055,pri-sub,a forged Arab diplomatic passport,This is a forged Arab diplomatic passport.,This is an Arab passport.,non-entailment
1056,pri-sub,a putative central character,She is a putative central character.,She is a central character.,non-entailment
1057,pri-sub,a would-be late bloomer,He is a would-be late bloomer.,He is a late bloomer.,non-entailment
1058,pri-sub,a would-be late bloomer,He is a would-be late bloomer.,He is a bloomer.,non-entailment
1059,pri-sub,a hypothetical severe weather day,This is a hypothetical severe weather day.,This is a severe weather day.,non-entailment
1060,pri-sub,a probable top contender,This is a probable top contender.,This is a top contender.,non-entailment
1061,pri-sub,vice presidential short lists,These are vice presidential short lists.,These are presidential short lists.,non-entailment
1062,pri-sub,Germany's next top star,She is Germany's next top star.,She is Germany's top star.,non-entailment
1063,pri-sub,a would-be musical rebel,This is a would-be musical rebel.,This is a musical rebel.,non-entailment
1064,pri-sub,a would-be musical rebel,This is a would-be musical rebel.,This is a rebel.,non-entailment
1065,pri-sub,a phony royal seal,This is a phony royal seal.,This is a royal seal.,non-entailment
1066,pri-sub,the predicted annual economic growth,This is the predicted annual economic growth.,This is the annual economic growth.,non-entailment
1067,pri-sub,The would-be federal law,This is a would-be federal law.,This is a federal law.,non-entailment
1068,pri-sub,a vice ministerial-level strategic dialogue,This is a vice ministerial-level strategic dialogue.,This is a ministerial-level strategic dialogue.,non-entailment
1069,pri-sub,a vice ministerial-level strategic dialogue,This is a vice ministerial-level strategic dialogue.,This is a ministerial-level dialogue.,non-entailment
1070,pri-sub,predicted poor next rains,These are predicted poor next rains.,These are poor next rains.,non-entailment
1071,pri-sub,a probable small reduction,This is a probable small reduction.,This is a small reduction.,non-entailment
1072,pri-sub,phony official statistics,They are phony official statistics.,They are official statistics.,non-entailment
1073,pri-sub,a presumed early rebel target,This is a presumed early rebel target.,This is an early rebel target.,non-entailment
1074,pri-sub,the predicted current average expenditure,This is the predicted current average expenditure.,This is the current average expenditure.,non-entailment
1075,pri-sub,the predicted current average expenditure,This is the predicted current average expenditure.,This is the average expenditure.,non-entailment
1076,pri-sub,an unlikely new weapon,This is an unlikely new weapon.,This is an unlikely weapon.,non-entailment
1077,pri-sub,a prior grand jury,He is a prior grand jury.,He is a grand jury.,non-entailment
1078,pri-sub,a retired northern general,He is a retired northern general.,He is a northern general.,non-entailment
1079,pri-sub,a retired northern general,He is a retired northern general.,He is a general.,non-entailment
1080,pri-sub,a phony independent committee,This is a phony independent committee.,This is an independent committee.,non-entailment
1081,pri-sub,a onetime regular performer,He is a onetime regular performer.,He is a regular performer.,non-entailment
1082,pri-sub,the supposed traditional wisdom,It is the supposed traditional wisdom.,It is the traditional wisdom.,non-entailment
1083,pri-sub,the supposed traditional wisdom,It is the supposed traditional wisdom.,It is wisdom.,non-entailment
1084,pri-sub,would-be musical rebels,They are would-be musical rebels.,They are musical rebels.,non-entailment
1085,pri-sub,would-be musical rebels,They are would-be musical rebels.,They are rebels.,non-entailment
1086,int-pri,a Russian alleged arms dealer,He is a Russian alleged arms dealer.,He is a Russian arms dealer.,non-entailment
1087,int-pri,a Russian alleged arms dealer,He is a Russian alleged arms dealer.,He is an arms dealer.,non-entailment
1088,int-pri,African would-be emigrants,They are African would-be emigrants.,They are African emigrants.,non-entailment
1089,int-pri,African would-be emigrants,They are African would-be emigrants.,They are emigrants.,non-entailment
1090,int-pri,a Russian retired spy,She is a Russian retired spy.,She is a Russian spy.,non-entailment
1091,int-pri,a Russian retired spy,She is a Russian retired spy.,She is a spy.,non-entailment
1092,int-pri,a French retired diplomat,He is a French retired diplomat.,He is a French diplomat.,non-entailment
1093,int-pri,a French retired diplomat,He is a French retired diplomat.,He is a diplomat.,non-entailment
1094,int-pri,Russian alleged spies,They are Russian alleged spies.,They are spies.,non-entailment
1095,int-pri,their original nominal value,This is their original nominal value.,This is their nominal value.,non-entailment
1096,int-pri,their original nominal value,This is their original nominal value.,This is their value.,non-entailment
1097,int-pri,Chinese would-be mothers,They are Chinese would-be mothers.,They are Chinese mothers.,non-entailment
1098,int-pri,Chinese would-be mothers,They are Chinese would-be mothers.,They are mothers.,non-entailment
1099,int-pri,a single false compliment,This is a single false compliment.,This is a single compliment.,non-entailment
1100,int-pri,an original virtual pet,This is an original virtual pet.,This is an original pet.,non-entailment
1101,int-pri,a Russian retired spy,This is a Russian retired spy.,This is a Russian spy.,non-entailment
1102,int-pri,Chinese would-be astronauts,They are Chinese would-be astronauts.,They are Chinese astronauts.,non-entailment
1103,int-pri,Chinese would-be astronauts,They are Chinese would-be astronauts.,They are astronauts.,non-entailment
1104,int-pri,a single false positive,This is a single false positive.,This is a single positive.,non-entailment
1105,int-pri,African would-be emigrants,They are African would-be emigrants.,They are African emigrants.,non-entailment
1106,int-pri,African would-be emigrants,They are African would-be emigrants.,They are emigrants.,non-entailment
1107,int-pri,a Russian alleged arms dealer,He is a Russian alleged arms dealer.,He is a Russian arms dealer.,non-entailment
1108,int-pri,a Russian possible participation,This is a Russian possible participation.,This is a participation.,non-entailment
1109,int-sub,Western standard business education,This is Western standard business education.,This is standard business education.,non-entailment
1110,sub-pri,a high expected dividend growth,This is a high expected dividend growth.,This is a high dividend growth.,non-entailment
1111,sub-pri,its maximum potential value,This is its maximum potential value.,This is its maximum value.,non-entailment
1112,sub-pri,a high false alarm rate,It has a high false alarm rate.,It has a high alarm rate.,non-entailment
1113,sub-pri,a low expected return,This is a low expected return.,This is a low return.,non-entailment
1114,sub-pri,the maximum initial sentence,This is the maximum initial sentence.,This is the maximum sentence.,non-entailment
1115,sub-pri,the maximum initial fee,This is the maximum initial fee.,This is the maximum fee.,non-entailment
1116,sub-pri,the maximum proposed CO2 levels,This is the maximum proposed CO2 level.,This is the maximum CO2 level.,non-entailment
1117,sub-pri,many prior connections,He has many prior connections.,He has many connections.,non-entailment
1118,sub-pri,many prior connections,He has many prior connections.,He has connections.,non-entailment
1119,sub-pri,a high false negative rate,This is a high false negative rate.,This is a negative rate.,non-entailment
1120,sub-pri,many seeming similarities,There are many seeming similarities.,There are similarities.,non-entailment
1121,sub-pri,numerous would-be parents,There are numerous would-be parents.,There are numerous parents.,non-entailment
1122,sub-pri,numerous would-be parents,There are numerous would-be parents.,There are parents.,non-entailment
1123,sub-pri,a national anti- pandemic plan,This is a national anti- pandemic plan.,This is a national pandemic plan.,non-entailment
1124,sub-pri,a national anti- pandemic plan,This is a national anti- pandemic plan.,This is a pandemic plan.,non-entailment
1125,sub-pri,the maximum initial fee,This is the maximum initial fee.,This is the maximum fee.,non-entailment
1126,sub-pri,her many supposed friends,These are her many supposed friends.,These are her many friends.,non-entailment
1127,sub-pri,her many supposed friends,These are her many supposed friends.,These are her friends.,non-entailment
1128,sub-pri,the total national gold reserves,These are the total national gold reserves.,These are the total national reserves.,non-entailment
1129,sub-pri,the total national gold reserves,These are the total national gold reserves.,These are the total gold reserves.,non-entailment
1130,sub-pri,the total national gold reserves,These are the total national gold reserves.,These are the total reserves.,non-entailment
1131,sub-pri,numerous failed cease-fires,These are numerous failed cease-fires.,These are numerous cease-fires.,non-entailment
1132,sub-pri,a low likely return,This is a low likely return.,This is a low return.,non-entailment
1133,sub-pri,our numerous onetime allies,They are our numerous onetime allies.,They are our allies.,non-entailment
1134,sub-pri,a maximum theoretical speed,This is a maximum theoretical speed.,This is a maximum speed.,non-entailment
1135,sub-pri,her numerous fake names,These are her numerous fake names.,These are her names.,non-entailment
1136,sub-pri,many supposed solutions,Those are many supposed solutions.,Those are many solutions.,non-entailment
1137,sub-pri,many supposed solutions,Those are many supposed solutions.,Those are solutions.,non-entailment
1138,sub-pri,the maximum nominal devaluation,This is the maximum nominal devaluation.,This is the maximum devaluation.,non-entailment
1139,sub-pri,its maximum potential value,This is its maximum potential value.,This is its maximum value.,non-entailment
1140,sub-pri,a high false alarm rate,This is a high false alarm rate.,This is a high alarm rate.,non-entailment
1141,sub-pri,a low expected return,This is a low expected return.,This is a low return.,non-entailment
1142,sub-pri,the maximum initial sentence,This is the maximum initial sentence.,This is the maximum sentence.,non-entailment
1143,sub-pri,many seeming similarities,There are many seeming similarities.,There are many similarities.,non-entailment
1144,sub-pri,many seeming similarities,There are many seeming similarities.,There are similarities.,non-entailment
1145,sub-pri,numerous would-be parents,They are numerous would-be parents.,They are numerous parents.,non-entailment
1146,sub-pri,numerous would-be parents,They are numerous would-be parents.,They are parents.,non-entailment
1147,sub-pri,many unlikely contributors,There are many unlikely contributors.,There are many contributors.,non-entailment
1148,sub-pri,her many supposed friends,These are her many supposed friends.,These are her many friends.,non-entailment
1149,sub-pri,her many supposed friends,These are her many supposed friends.,These are her friends.,non-entailment
1150,sub-int,the fourth democratic parliament,This is the fourth democratic parliament.,This is the fourth parliament.,non-entailment
1151,sub-int,the fourth foreign winner,She is the fourth foreign winner.,She is the fourth winner.,non-entailment
1152,sub-int,regular married folks,They are regular married folks.,They are regular folks.,non-entailment
1153,sub-int,its fourth democratic election,This is its fourth democratic election.,This is its fourth election.,non-entailment
1154,sub-int,its fourth consecutive gold medal,This is its fourth consecutive gold medal.,This is its fourth consecutive medal.,non-entailment
1155,sub-int,the third-largest gold producer,It is the third-largest gold producer.,It is the third-largest producer.,non-entailment
1156,sub-int,the third-largest gold producer,It is the third-largest gold producer.,It is the largest gold producer.,non-entailment
1157,sub-int,its fifth democratic poll,This is its fifth democratic poll.,This is its fifth poll.,non-entailment
1158,sub-int,the fourth democratic parliament,This is the fourth democratic parliament.,This is the fourth parliament.,non-entailment
1159,sub-int,the fourth Swedish winner,This is the fourth Swedish winner.,This is the fourth winner.,non-entailment
1160,sub-sub,the average current user,He is the average current user.,He is the average user.,non-entailment
1161,sub-sub,a top amateur U.S. athlete,She is a top amateur U.S. athlete.,She is a top U.S. athlete.,non-entailment
1162,sub-int,the second green ball,This is the second green ball.,This is the second ball.,non-entailment
1163,pri-sub,an alleged antique vase,This is an alleged antique vase.,This is an antique vase.,non-entailment
